Parámetro,Valor
Área (km²),52.215
Perímetro (km),44.221
Longitud cuenca (km),8.856
Índice de compacidad Kc,1.7264
Factor de forma Rf,0.6658
Relación de elongación Re,0.9207
Elevación mínima (m),1464.9
Elevación máxima (m),3141.2
Elevación media (m),2183.5
Pendiente media (°),22.96
Longitud total drenajes (km),2048.246
Densidad de drenaje (km/km²),39.2272
Frecuencia de segmentos (/km²),1134.6362
Relief ratio Rr (m/m),0.189292
Longitud canal principal (km),0.258
Sinuosidad canal principal,1.069
Integral hipsométrica IH,0.4287
